libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Using CUDA device: NVIDIA RTX PRO 5000 Blackwell
GPU hybrid 2D Euler Config 3: nx=512, ny=512, adaptive CFL=0.05, tfinal=0.85, device=0
  "ny": 512,
  "tfinal": 0.85,
  "steps": 42985,
  "cfl": 0.05,
  "mn": 0.001,
  "hyperviscosity_interval": 5,
  "sensor_width": 8,
  "jump_threshold": 0.015,
  "compression_threshold": 2.5,
  "shear_threshold": 2.0,
  "sensor_fraction": 0.24657821655273438,
  "elapsed_seconds": 1762.4663185849786,
  "milliseconds_per_step": 41.0018917898099,
  "cupy_version": "14.1.1",
  "device": "NVIDIA RTX PRO 5000 Blackwell"
}
Saved density figure to results/Riemann2D_Config3_GPU_t03_n512_mn0001.png
